feature,ticket_id,epic,description,user_story,acceptance_criteria,priority,horizon,type,status,source_documents
Authorized meeting history search,GRAN-015,Memory & Context,"Search across prior notes, folders, and meetings only within the requesting user's permissions.","As a user, I want to ask questions across past meetings so I can recover decisions and commitments without manual search.",Search respects folder/team/private-note permissions; results show source meetings and timestamps; denied access returns no content leakage; queries can be scoped by project/customer/date; audit events are recorded for permission failures.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
Prior decision Q&A,GRAN-016,Memory & Context,Answer questions about decisions from prior meetings using grounded meeting-history retrieval.,"As a PM, I want to ask what we decided last week so I can avoid reopening settled questions.",Decision answers cite source note and transcript segment; unsupported answers are blocked or marked uncertain; system handles project/customer/date filters; answers never cross unauthorized folders or private notes; answer quality is covered in evals.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Product knowledge graph,GRAN-017,Memory & Context,"Parse notes into entities and relationships across customers, projects, teams, decisions, risks, feature requests, bugs, and action items.","As a PM, I want meeting intelligence connected across artifacts so customer requests, engineering issues, and decisions form one map.",Entities are extracted from notes; relationships are created with source evidence; users can view related notes/items; graph supports customer/project/team filters; sensitive/private nodes inherit source permissions.,P1,Next (3-9 months),Platform Capability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/data-flywheel.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md
Pre-meeting brief generator,GRAN-018,Memory & Context,"Generate context briefs before meetings using calendar, prior meetings, unresolved action items, and relevant project/customer history.","As a PM, I want a brief before recurring meetings so I know prior decisions, open items, and risks.","Upcoming calendar meetings trigger optional brief; brief includes prior decisions, open action items, relevant customer/project context, and risks; all items cite sources; user can disable by meeting type; brief respects authorization boundaries.",P1,Next (3-9 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/README.md
Related item linker,GRAN-019,Memory & Context,"Automatically link meeting content to related CRM records, support issues, engineering bugs, roadmap items, and prior decisions.","As a PM, I want Granola to connect a customer request to the related bug or roadmap item so meeting context becomes actionable.",System suggests related items with confidence score; links include source evidence; users can accept/reject links; accepted links appear in note and downstream drafts; rejected links improve future matching.,P1,Next (3-9 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/data-flywheel.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md
Unresolved action item carryover,GRAN-020,Memory & Context,"Track unresolved actions across meetings and surface them in future notes, briefs, and follow-ups.","As a manager, I want open action items carried forward so commitments do not disappear after one meeting.","Action items have status, owner, due date, and source meeting; unresolved items appear in relevant future briefs; users can mark done/dismiss; stale items are highlighted; no item is exposed outside permissions.",P1,Next (3-9 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md
Customer-insight synthesis,GRAN-021,Memory & Context,"Synthesize themes across meetings, accounts, folders, and projects for product feedback and customer intelligence.","As a product leader, I want cross-meeting customer insight synthesis so repeated pain points and feature asks are visible.","User can run synthesis across authorized scope; output groups themes, supporting meetings, frequency, and confidence; duplicate themes are merged; user can export to roadmap/CRM/project tools; sensitive content is detected before export.",P1,Next (3-9 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md
Executive weekly memory query,GRAN-022,Memory & Context,"Answer executive-level queries across the week or account, including commitments, decisions, risks, blockers, and owner follow-ups.","As an executive, I want to query the week's meetings for commitments and risks so I can manage follow-through.","Query templates include commitments, decisions, risks, blockers, and follow-ups; output cites source notes; answers are scoped by user authorization; unanswered/unsupported claims are blocked; results can be saved as a weekly brief.",P1,Next (3-9 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Meeting-type classifier,GRAN-023,Memory & Context,"Classify meetings by type to select better default templates, extraction rules, and summarization style.","As a user, I want Granola to understand meeting type so outputs are tailored without manual configuration every time.",Classifier labels common meeting types; confidence is stored; user can override label; label selects default template; classifier quality is measured in evals; label never overrides explicit user recipe choice.,P2,Next (3-9 months),Platform Capability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md
Action item extraction with owner and due date,GRAN-024,Workflow Execution,"Extract action items, owners, due dates, dependencies, and source evidence from meetings.","As a PM, I want action items extracted reliably so I can assign follow-up work without re-reading the transcript.","Action items include task, owner, due date, confidence, and source; ambiguous owner/due date is flagged; users can edit before export; extracted actions can become tasks or follow-up messages after approval.",P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/prototype.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Follow-up email drafter,GRAN-025,Workflow Execution,Draft follow-up emails from meeting notes without sending them automatically.,"As a user, I want Granola to draft follow-up emails so I can communicate decisions and next steps faster.","User can generate email draft from note; draft includes decisions, owners, and next steps; draft has tone controls; send is never automatic; external recipients trigger approval and sensitive-content checks.",P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
External recap mode,GRAN-026,Workflow Execution,"Generate customer-facing or stakeholder-facing recaps with tone, redaction, approval, and source-review controls.","As a customer-facing user, I want a polished recap mode so I can share meeting outcomes safely.",Recap mode has tone and audience controls; sensitive content is automatically flagged; user can redact sections; external share requires approval; exported recap records audit metadata.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
CRM update generator,GRAN-027,Workflow Execution,"Generate Salesforce and HubSpot-ready field updates, next steps, account notes, risks, and opportunities from meeting notes.","As a sales or customer-facing user, I want CRM updates drafted from meeting notes so account records stay current.","System maps meeting outputs to CRM fields; generated updates include next steps, risks, and account notes; user approval is required before write; outcome-based update event is tracked for billing; unsupported fields are flagged.",P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Project task draft generator,GRAN-028,Workflow Execution,"Create draft tasks for Jira, Linear, Asana, Todoist, or similar systems based on extracted action items and decisions.","As a PM, I want meeting action items drafted as project tasks so work moves into the team's execution system.","User can select destination; task draft includes title, description, owner, due date, labels, and source; write requires approval; unsupported destinations can export copyable structured text; user corrections update task-format preferences.",P1,Next (3-9 months),Integration,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
Knowledge-base export workflow,GRAN-029,Workflow Execution,"Export notes and curated recaps into Notion, Google Docs, Confluence, or equivalent knowledge-base destinations.","As a team, I want selected notes published to our knowledge base so account and project memory is shared.",User can choose destination and page/folder; export preview is shown; permissions and external-share checks run; supported destinations receive formatted content; source links and confidence labels are preserved where possible.,P1,Next (3-9 months),Integration,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/diagnostic.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md
Slack and message draft workflow,GRAN-030,Workflow Execution,Draft Slack or messaging updates from meeting notes while requiring user approval before sending.,"As a team lead, I want Granola to draft team updates so decisions and blockers reach the right channel quickly.",Draft can be generated from note; channel/recipient selection is explicit; sensitive content and external recipient checks run; send is never automatic; sent/dismissed draft outcome is logged.,P1,Next (3-9 months),Integration,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md
Formal PRD and roadmap document generation,GRAN-031,Workflow Execution,"Generate formal PRDs, roadmap updates, and project-plan drafts from one or multiple meetings.","As a PM, I want Granola to produce formal product documents from meeting context so I can ship decision-ready artifacts.",User can select source meetings; generated document follows selected template; unsupported assumptions are highlighted; source citations are included; user can export to docs/project tools after approval.,P1,Next (3-9 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/diagnostic.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Workflow review inbox,GRAN-032,Workflow Execution,"Centralize pending AI-generated drafts, exports, CRM updates, and task writes for human review.","As a user, I want one review queue for AI-suggested actions so I can approve or reject downstream work safely.","Inbox shows pending drafts and writes; each item includes source, confidence, destination, and risk flags; user can approve, edit, reject, or defer; rejected/edited items feed feedback learning; high-risk items require explicit confirmation.",P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Model Context Protocol server framework,GRAN-033,Open Data Layer & Integrations,"Expose clean, human-guided meeting data to AI development tools through a Model Context Protocol server framework.","As a technical customer, I want meeting context available to tools like Cursor and Claude Code so engineering work can use PM meeting intelligence.","MCP server exposes authorized notes, decisions, action items, and source metadata; access is scoped by user/team permissions; setup docs are available; logs capture all external context reads; framework can run without exposing private notes by default.",P2,Bet (9-18 months),Platform Capability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/README.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/data-flywheel.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
External tool approval orchestration,GRAN-034,Open Data Layer & Integrations,"Create a common approval layer for any external share, send, create, update, or delete action.","As an enterprise admin, I want all external tool actions gated consistently so AI cannot act outside policy.","All external writes route through approval service; service records user, destination, payload, confidence, and risk flags; policy can block actions by destination/type; approval status is visible in audit log; low-confidence actions cannot bypass approval.",P0,Now (0-3 months),Platform Capability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Integration permission scopes,GRAN-035,Open Data Layer & Integrations,"Define and enforce granular permissions for CRM, task, docs, Slack, email, and MCP integrations.","As an admin, I want integration scopes controlled by tenant policy so Granola only accesses approved systems and records.",Each integration declares read/write scopes; tenant policy can disable scopes; user consent is recorded; permission failures return safe errors; scope changes are audited.,P0,Now (0-3 months),Security / Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Local files and vector index sync,GRAN-036,Open Data Layer & Integrations,"Keep local note files, metadata, and vector indexes portable while supporting cross-meeting search.","As a privacy-sensitive user, I want my meeting files portable and local-first while still enabling search and context retrieval.",Notes remain exportable as local files; vector index can be rebuilt from local data; sync stores only configured metadata; portability test validates migration; user can disable cloud sync where supported.,P1,Next (3-9 months),Platform Capability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/kill-switch.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md
Meeting intelligence webhook/API,GRAN-037,Open Data Layer & Integrations,"Provide approved webhooks/API endpoints for meeting-created, note-enhanced, action-item-extracted, and draft-approved events.","As an enterprise developer, I want event hooks so Granola can fit into our existing workflow automation.","Webhook events are documented; payloads include IDs, timestamps, confidence, and source links; admins can configure destinations; retries and failures are visible; PII/sensitive content policy applies before emission.",P2,Bet (9-18 months),Platform Capability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Meeting-library partner integration,GRAN-038,Open Data Layer & Integrations,"Partner or integrate with recording-heavy meeting library tools for video, transcript archive, or compliance workflows rather than rebuilding them.","As a team needing searchable recordings, I want Granola to connect to meeting libraries so I can keep using approved archive systems.",Integration strategy identifies supported partner workflows; Granola can deep-link or export to partner library; compliance archive use cases are routed to partner; product does not duplicate video-library capabilities; partner permissions are enforced.,P3,Bet (9-18 months),Partner Integration,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md
Structured edit telemetry capture,GRAN-039,Learning & Feedback Loops,"Capture user edits to AI-generated notes as structured signals, including deleted text, rewritten bullets, action item changes, and speaker corrections.","As a user, I want Granola to learn from corrections so future notes get closer to my preferred style and structure.","Edit events capture before/after text, section, meeting type, timestamp, and user scope; users can disable durable learning; events exclude disallowed sensitive content; events feed preference profile and eval queue; telemetry is locally inspectable where required.",P0,Now (0-3 months),Platform Capability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
Learn-from-this-edit control,GRAN-040,Learning & Feedback Loops,Give users explicit control to mark whether an edit should become a durable preference or one-off cleanup.,"As a user, I want to decide what Granola learns from so personal and team preferences are intentional.",Every meaningful edit can be marked learn/don't learn; default follows tenant policy; learned edits show the inferred preference; users can undo learned preference; sensitive/high-risk content requires explicit approval before durable learning.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
User and team preference profile,GRAN-041,Learning & Feedback Loops,"Build durable profiles for writing style, detail level, action-item format, templates, vocabulary, and meeting-type preferences.","As a team, I want Granola to remember our style and formatting standards so every output requires less cleanup.","Preference profile stores explicit and learned preferences; profile is scoped to user/team; users/admins can inspect, edit, and reset preferences; generation uses profile by meeting type; profile use is disclosed in output metadata.",P0,Now (0-3 months),Platform Capability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/data-flywheel.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
Weekly eval dataset update from corrections,GRAN-042,Learning & Feedback Loops,Turn approved user corrections into structured evaluation cases to improve regression coverage without training on customer content by default.,"As the product team, I want production corrections converted into evals so model changes do not regress real user workflows.","Approved corrections can create anonymized or tenant-local eval cases; weekly batch job summarizes new cases; sensitive content is excluded unless explicitly allowed; cases include input, expected output, judge type, and source category; eval set version is tracked.",P1,Next (3-9 months),AI Eval,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
Privacy-gated network intelligence,GRAN-043,Learning & Feedback Loops,"Use anonymized aggregate patterns to improve defaults such as meeting-type templates, summarization heuristics, and action-item detection.","As an admin, I want aggregate learning to improve defaults only when privacy and contract rules allow it.",Network learning is opt-in by tenant policy; data is anonymized/aggregated; no customer transcript content is exposed; aggregate patterns improve default templates and classifiers; admin can view and disable participation.,P2,Bet (9-18 months),Platform Capability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/data-flywheel.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Team vocabulary and shorthand dictionary,GRAN-044,Learning & Feedback Loops,"Maintain team-specific glossary for acronyms, names, product terms, customer names, and shorthand mappings.","As a team, I want Granola to know our vocabulary so notes use the right terms and expansions.",Users can add/edit/remove glossary entries; system suggests entries from corrections; glossary can be scoped to user/team/project; glossary entries are used in transcription cleanup and generation; conflicting entries are flagged.,P1,Next (3-9 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/data-flywheel.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md
Prompt example updater,GRAN-045,Learning & Feedback Loops,Update local prompt examples based on accepted corrections without relying on core-model training.,"As a user, I want Granola to improve outputs from my corrections without sending private transcripts for model training.",Accepted corrections can update local prompt examples; prompt changes are versioned; prompt example use is scoped to user/team; bad examples can be rolled back; prompt updates are tested against eval set before release.,P1,Next (3-9 months),AI Platform,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/data-flywheel.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/kill-switch.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md
Golden dataset expansion to 100+ cases,GRAN-046,Reliability & Evaluation,Expand the 5-row golden dataset into a broad reliability suite covering diverse PM meeting scenarios and edge cases.,"As the product team, I want a large golden dataset so we can measure progress toward the 95% accuracy target credibly.","Dataset has at least 100 cases; includes multi-speaker, acronyms, accents, cross-talk, poor audio, no shorthand, mixed language, prior decision lookup, CRM/task generation, and adversarial cases; cases include expected output and judge type; dataset version is tracked.",P0,Now (0-3 months),AI Eval,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
Automated formatting regression tests,GRAN-047,Reliability & Evaluation,Build automated tests that validate output structure and formatting across model and prompt changes.,"As an engineer, I want automated regression tests so model changes do not break note and artifact formatting.",Tests run in CI; tests cover each supported artifact template; failures show diff against expected structure; tests run against multiple provider/model configurations; release is blocked on critical formatting regressions.,P0,Now (0-3 months),AI Eval,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/kill-switch.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
LLM and rule-based judge harness,GRAN-048,Reliability & Evaluation,"Implement mixed evaluators for subjective summaries, speaker attribution, acronym expansion, source grounding, and workflow outputs.","As the AI team, I want evaluator harnesses so quality can be measured consistently across prompt and model releases.",Harness supports LLM judges and deterministic rules; judge type is configured per eval case; evaluator outputs score and rationale; evaluator agreement is monitored; false positives can be reviewed and corrected.,P0,Now (0-3 months),AI Eval,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/kill-switch.md
